iter,evals,f_best,f_mean,f_std,gbest_f
35,1400,-6.986630000000e+00,2.331145750000e+00,6.449778227287e+00,-1.322387000000e+01
36,1440,-2.029998000000e+01,1.730080250000e+00,6.918623754631e+00,-2.029998000000e+01
37,1480,-4.049780000000e+00,8.961729750000e+00,2.132265844426e+01,-2.029998000000e+01
38,1520,-9.012350000000e+00,4.358588500000e+00,9.887067901083e+00,-2.029998000000e+01
39,1560,-5.300080000000e+00,6.221851250000e+00,1.155731782819e+01,-2.029998000000e+01
40,1600,-6.432240000000e+00,9.452184500000e+00,2.130131246237e+01,-2.029998000000e+01
41,1640,-5.982890000000e+00,8.924056750000e+00,2.037187535980e+01,-2.029998000000e+01
42,1680,-6.432080000000e+00,6.681546750000e+00,1.171970683884e+01,-2.029998000000e+01
43,1720,-2.004072000000e+01,1.146838375000e+01,3.195141438873e+01,-2.029998000000e+01
44,1760,-1.789523000000e+01,1.094491225000e+01,3.269268606123e+01,-2.029998000000e+01
45,1800,-3.746080000000e+00,1.115052525000e+01,2.332007498446e+01,-2.029998000000e+01
46,1840,-3.731170000000e+00,1.116647675000e+01,3.399638448031e+01,-2.029998000000e+01
47,1880,-3.732060000000e+00,9.906717250000e+00,2.803262709350e+01,-2.029998000000e+01
48,1920,-3.588830000000e+00,3.068481575000e+01,1.498687124305e+02,-2.029998000000e+01
49,1960,-3.637500000000e+00,9.048567500000e+00,2.353484684134e+01,-2.029998000000e+01
50,2000,-1.234091000000e+01,1.022403675000e+01,2.298444158863e+01,-2.029998000000e+01
51,2040,-4.751780000000e+00,1.021028975000e+01,2.601881079902e+01,-2.029998000000e+01
52,2080,-6.503760000000e+00,6.325694750000e+00,1.493508350142e+01,-2.029998000000e+01
53,2120,-7.649460000000e+00,5.310373500000e+00,9.475546733087e+00,-2.029998000000e+01
54,2160,-1.464411000000e+01,2.450480250000e+00,7.621309959702e+00,-2.029998000000e+01
55,2200,-3.745020000000e+00,2.468367125000e+01,7.875333063996e+01,-2.029998000000e+01
56,2240,-6.025000000000e+00,1.360826250000e+01,4.644944795980e+01,-2.029998000000e+01
57,2280,-2.636740000000e+01,9.333135000000e+00,2.701690179027e+01,-2.636740000000e+01
58,2320,-3.668020000000e+00,4.768044750000e+00,9.124759511537e+00,-2.636740000000e+01
59,2360,-3.781210000000e+00,2.805001500000e+00,6.064887568859e+00,-2.636740000000e+01
60,2400,-2.813332000000e+01,5.996694000000e+00,1.449675661499e+01,-2.813332000000e+01
61,2440,-3.572340000000e+00,8.638826750000e+00,2.231974475635e+01,-2.813332000000e+01
62,2480,-1.115964000000e+01,9.200373000000e+00,3.206722823742e+01,-2.813332000000e+01
63,2520,-1.407151000000e+01,4.444069000000e+00,7.996523580818e+00,-2.813332000000e+01
64,2560,-3.183343000000e+01,3.368881000000e+00,1.174318627298e+01,-3.183343000000e+01
65,2600,-3.803820000000e+00,1.536078700000e+01,3.994985522282e+01,-3.183343000000e+01
66,2640,-3.682750000000e+00,1.149021800000e+01,2.951992042020e+01,-3.183343000000e+01
67,2680,-7.521380000000e+00,3.027091250000e+00,8.276822233194e+00,-3.183343000000e+01
68,2720,-2.368173000000e+01,1.369652800000e+01,6.662067823353e+01,-3.183343000000e+01
