iter,evals,f_best,f_mean,f_std,gbest_f,x_best
20,800,-4.847013000000e+02,-3.689696575000e+01,1.005290933383e+02,-4.847013000000e+02,"[np.float64(-0.11343913042217507), np.float64(0.4552835390621725), np.float64(0.29993125742815674), np.float64(-0.2), np.float64(0.19640065656091613), np.float64(0.14478310859398114)]"
21,840,-4.601554400000e+02,-5.969707250000e+01,1.233577900984e+02,-4.847013000000e+02,"[np.float64(-0.11343913042217507), np.float64(0.4552835390621725), np.float64(0.29993125742815674), np.float64(-0.2), np.float64(0.19640065656091613), np.float64(0.14478310859398114)]"
22,880,-4.550944200000e+02,-6.060660775000e+01,1.205842012945e+02,-4.847013000000e+02,"[np.float64(-0.11343913042217507), np.float64(0.4552835390621725), np.float64(0.29993125742815674), np.float64(-0.2), np.float64(0.19640065656091613), np.float64(0.14478310859398114)]"
23,920,-5.239589100000e+02,-8.592896250000e+01,1.594457797506e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
24,960,-5.070605800000e+02,-1.104571820000e+02,1.640963069374e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
25,1000,-4.858210600000e+02,-6.167927175000e+01,1.262388419530e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
26,1040,-1.723877900000e+02,-1.561592050000e+01,4.566524946217e+01,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
27,1080,-5.106146800000e+02,-7.547866250000e+01,1.523608252000e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
28,1120,-4.745386200000e+02,-6.431243875000e+01,1.353120830428e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
29,1160,-4.466309100000e+02,-7.023116500000e+01,1.384215710304e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
30,1200,-3.997565500000e+02,-5.166293550000e+01,1.119195255750e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
31,1240,-4.377412700000e+02,-8.214137175000e+01,1.340967858210e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
32,1280,-4.567460600000e+02,-5.256100100000e+01,1.128402154323e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
33,1320,-5.105429400000e+02,-7.284894800000e+01,1.812828232448e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
34,1360,-4.579199200000e+02,-6.698356200000e+01,1.175657578506e+02,-5.239589100000e+02,"[np.float64(-0.12339657399553766), np.float64(0.4535427829613442), np.float64(0.2800244730975099), np.float64(-0.2), np.float64(0.20011675303072668), np.float64(0.14257644059990507)]"
35,1400,-5.334512300000e+02,-6.244381825000e+01,1.304670334995e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
36,1440,-4.556821500000e+02,-8.219727600000e+01,1.358510720734e+02,-5.334512300000e+02,"[np.float64(-0.1400085877252503), np.float64(0.4471192144086344), np.float64(0.2945949386339457), np.float64(-0.19810156502640502), np.float64(0.18901149823315389), np.float64(0.13112614271812953)]"
