iter,evals,f_best,f_mean,f_std,gbest_f,x_best
13,520,1.838729466150e+00,8.519982790745e+00,5.394783515964e+00,1.701681654758e+00,"[7.362455537234876, -16.929928841930256, -44.72209536978497, -14.298283474261105, 29.59355770229814]"
14,560,1.466746411164e+00,6.995082214162e+00,4.365281209734e+00,1.466746411164e+00,"[27.835970513292573, -5.844144232340071, -12.74517302707136, 28.864595555971597, 10.197090660812908]"
15,600,1.383485257562e+00,5.988711831472e+00,4.664186156625e+00,1.383485257562e+00,"[9.656390541872842, -5.6679743811193575, -7.740088712456526, 33.83945205909619, -5.605836766164892]"
16,640,2.114248858229e+00,5.717187877943e+00,2.940605998677e+00,1.383485257562e+00,"[9.656390541872842, -5.6679743811193575, -7.740088712456526, 33.83945205909619, -5.605836766164892]"
17,680,1.092146948283e+00,5.182549752476e+00,3.849103817856e+00,1.092146948283e+00,"[18.13734745196691, -14.943858319861192, 0.594293115310073, -1.9870812376300755, 4.237059543586099]"
18,720,1.289315282891e+00,5.254616826310e+00,3.347314848631e+00,1.092146948283e+00,"[18.13734745196691, -14.943858319861192, 0.594293115310073, -1.9870812376300755, 4.237059543586099]"
19,760,1.204840830709e+00,4.540356335372e+00,3.087492104381e+00,1.092146948283e+00,"[18.13734745196691, -14.943858319861192, 0.594293115310073, -1.9870812376300755, 4.237059543586099]"
20,800,1.027621640154e+00,3.219202352517e+00,1.681022834025e+00,1.027621640154e+00,"[16.34122593459822, -2.4222052436213133, -5.6760528446856515, -0.20813293388167864, 9.054958730091055]"
21,840,1.223307365079e+00,3.685537274399e+00,2.042253433388e+00,1.027621640154e+00,"[16.34122593459822, -2.4222052436213133, -5.6760528446856515, -0.20813293388167864, 9.054958730091055]"
22,880,8.531550228547e-01,2.962809545919e+00,1.934383630277e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
23,920,9.022988657013e-01,3.809997631119e+00,3.114767071764e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
24,960,9.461352272173e-01,3.183207416291e+00,2.206797561039e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
25,1000,1.117313739661e+00,2.966477768152e+00,2.037353363742e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
26,1040,1.022532632219e+00,2.907999230313e+00,2.822255797638e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
27,1080,1.116673260798e+00,2.848298257221e+00,2.765869464714e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
28,1120,9.100938970025e-01,2.770963374321e+00,2.297872955973e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
29,1160,1.153371362359e+00,2.361173847709e+00,1.052815624895e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
30,1200,9.050080356668e-01,2.450444000036e+00,1.702841081250e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
31,1240,1.100786219063e+00,2.492779580310e+00,1.431682793741e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
32,1280,9.861302407423e-01,2.276448627750e+00,1.563055942104e+00,8.531550228547e-01,"[8.887380722714802, -0.7652841267375017, -27.69217540447339, -26.27595565673935, 13.48956687569138]"
33,1320,8.462387578585e-01,2.361926092698e+00,2.634666476326e+00,8.462387578585e-01,"[2.538068675445688, -7.581042204330103, 5.004701806870536, -23.892559712353503, 14.743465725785356]"
